x1	y1	x2	y2	edge_id	perfusion_status
390.82	1203.292	392.006	1199.1409999999998	3265	1
587.119	378.953	587.119	374.8019999999999	3266	1
756.731	395.559	759.696	397.9309999999999	3267	1
764.441	518.3199999999999	764.441	514.169	3268	1
835.014	741.8999999999999	839.165	743.086	3269	1
864.666	269.832	864.666	265.6809999999999	3270	1
919.82	1164.1509999999998	921.006	1159.999	3271	1
926.343	1049.099	926.343	1044.948	3272	1
982.09	456.6429999999999	986.241	455.457	3273	1
1078.164	204.0039999999999	1078.164	199.852	3274	1
112.679	689.7109999999999	116.238	692.083	3275	1
123.947	744.2719999999999	126.32	740.713	3276	1
183.252	743.086	186.811	740.713	3277	1
453.683	252.6339999999999	456.055	249.07499999999993	3278	1
802.989	565.7639999999999	805.361	569.3219999999999	3279	1
814.85	672.5129999999999	817.815	675.478	3280	0
1008.184	385.477	1011.742	383.1049999999999	3281	1
20.757	1052.657	24.908	1052.064	3282	1
444.194	857.5439999999999	448.345	856.951	3283	1
651.761	954.211	652.354	958.363	3284	1
759.696	968.444	763.848	967.851	3285	1
911.517	911.512	912.11	915.663	3286	1
913.889	343.3699999999999	914.482	347.52199999999993	3287	1
934.646	304.8219999999999	938.797	304.2289999999999	3288	1
945.321	733.597	949.472	733.0039999999999	3289	1
1146.958	48.031999999999925	1151.109	47.43899999999985	3290	1
1199.146	66.41599999999994	1203.297	65.82299999999987	3291	1
207.567	531.9599999999999	209.346	535.5179999999999	3292	1
226.545	119.79099999999994	227.138	116.23199999999996	3293	1
555.687	387.256	558.653	384.29099999999994	3294	1
267.465	470.876	271.617	470.876	3295	1
362.946	477.99299999999994	367.098	477.99299999999994	3296	1
682.6	1072.821	686.751	1072.821	3297	1
765.627	609.65	765.627	605.4979999999999	3298	1
819.594	471.46899999999994	823.746	471.46899999999994	3299	1
824.932	122.163	829.083	122.163	3300	1
853.991	122.163	858.143	122.163	3301	1
1004.033	385.477	1008.184	385.477	3302	1
1107.223	935.827	1111.375	935.827	3303	1
1149.33	215.8649999999999	1153.481	215.8649999999999	3304	1
233.661	57.52099999999996	233.661	53.96199999999999	3305	1
359.388	905.581	360.574	909.14	3306	1
368.284	612.0219999999999	368.284	608.463	3307	1
390.82	1203.292	392.006	1206.85	3308	1
453.683	222.981	455.462	225.9469999999999	3309	1
523.663	198.073	527.221	196.88699999999992	3310	1
524.256	136.98900000000003	524.256	133.43100000000004	3311	1
552.129	57.52099999999996	553.315	61.07899999999995	3312	1
555.094	339.8119999999999	558.653	338.626	3313	1
648.796	139.95399999999995	648.796	136.39599999999996	3314	1
862.294	795.867	862.294	792.309	3315	1
1043.767	1132.126	1043.767	1128.568	3316	1
1119.677	408.0129999999999	1120.863	411.5709999999999	3317	1
625.667	521.8779999999999	626.853	524.843	3318	1
814.257	613.208	817.222	615.5799999999999	3319	1
957.182	518.9129999999999	959.554	515.948	3320	1
1119.084	102.59199999999989	1121.457	105.558	3321	1
985.648	751.981	986.834	755.54	3322	1
64.642	1172.453	65.235	1176.012	3323	0
153.6	743.679	154.786	740.713	3324	1
165.461	914.477	166.054	918.035	3325	1
