x	y	d
62.0	1211.0	4.7318523529359755
319.0	1212.0	2.591737359804196
390.0	1212.0	4.917481070784021
405.0	1210.0	5.4775109244945615
415.0	1213.0	1.1590491981145883
466.0	1212.0	4.232294399873157
494.0	1211.0	5.558661945443704
501.0	1213.0	1.1590491981145883
673.0	1213.0	2.007563810917273
745.0	1212.0	2.9926947063768603
751.0	1213.0	0.6691773665354774
759.0	1212.0	1.3383547330709549
1200.0	1211.0	3.4121857647080445
518.0	1212.0	0.6691773665354774
367.0	1211.0	0.6691773665354774
1003.0	1211.0	0.9463597073875839
520.0	1211.0	1.1590491981145883
768.0	1210.0	1.8927530496663656
1055.0	1210.0	2.7591120379519816
1178.0	1210.0	1.639143095431311
261.0	1209.0	0.9463597073875839
724.0	1208.0	2.503857862244075
513.0	1208.0	1.1590491981145883
646.0	1208.0	1.1590491981145883
670.0	1208.0	0.6691773665354774
470.0	1207.0	3.665270124344132
731.0	1207.0	1.1590491981145883
792.0	1207.0	0.9463597073875839
823.0	1206.0	2.9926947063768603
410.0	1205.0	3.7258560670392256
711.0	1206.0	1.7705128520115212
653.0	1205.0	1.1590491981145883
358.0	1205.0	1.8927530496663656
798.0	1204.0	2.676733249707221
1119.0	1204.0	2.503857862244075
234.0	1205.0	2.3181258590841773
1169.0	1205.0	0.6691773665354774
195.0	1202.0	3.2093015827787443
759.0	1201.0	3.7854724645909608
332.0	1202.0	1.3383547330709549
351.0	1197.0	7.803963643667316
225.0	1202.0	1.1590491981145883
283.0	1199.0	4.962803484866444
647.0	1202.0	1.4963260805776206
640.0	1201.0	1.4963260805776206
1010.0	1201.0	2.4127796928932637
470.0	1201.0	0.6691773665354774
629.0	1200.0	2.3181258590841773
533.0	1200.0	1.7705128520115212
603.0	1200.0	1.639143095431311
274.0	1199.0	1.8927530496663656
610.0	1199.0	2.1161547209001617
206.0	1199.0	1.3383547330709549
505.0	1198.0	2.676733249707221
816.0	1199.0	1.1590491981145883
1026.0	1199.0	1.639143095431311
360.0	1197.0	2.9168983413444924
269.0	1198.0	1.639143095431311
485.0	1198.0	0.6691773665354774
492.0	1197.0	3.138760631418521
215.0	1197.0	2.7591120379519816
238.0	1195.0	5.833818507878177
326.0	1193.0	4.388132966404705
304.0	1196.0	1.639143095431311
533.0	1194.0	2.3181258590841773
480.0	1193.0	2.219438926997406
524.0	1194.0	1.4963260805776206
542.0	1192.0	2.676733249707221
112.0	1193.0	0.9463597073875839
269.0	1193.0	3.0665974553989703
230.0	1193.0	0.9463597073875839
258.0	1190.0	3.540989747040075
631.0	1192.0	1.4963260805776206
975.0	1193.0	0.6691773665354774
464.0	1189.0	2.503857862244075
318.0	1187.0	4.636251718168355
356.0	1189.0	2.4127796928932637
1025.0	1188.0	2.503857862244075
336.0	1189.0	1.3383547330709549
561.0	1188.0	3.540989747040075
616.0	1188.0	1.8927530496663656
815.0	1188.0	1.1590491981145883
273.0	1187.0	1.4963260805776206
1120.0	1186.0	2.9168983413444924
728.0	1186.0	0.6691773665354774
501.0	1185.0	2.007563810917273
261.0	1185.0	1.1590491981145883
291.0	1185.0	0.6691773665354774
605.0	1183.0	2.503857862244075
810.0	1185.0	1.4963260805776206
347.0	1184.0	2.9168983413444924
107.0	1183.0	1.3383547330709549
508.0	1181.0	3.477184211507866
924.0	1183.0	0.6691773665354774
331.0	1181.0	3.84418098585566
339.0	1182.0	2.219438926997406
195.0	1179.0	3.138760631418521
300.0	1181.0	1.639143095431311
770.0	1180.0	0.9463597073875839
1174.0	1179.0	2.1161547209001617
131.0	1178.0	1.7705128520115212
310.0	1178.0	0.9463597073875839
839.0	1176.0	3.6036657359591904
354.0	1172.0	3.477184211507866
820.0	1177.0	2.219438926997406
928.0	1175.0	0.9463597073875839
812.0	1173.0	1.3383547330709549
317.0	1172.0	2.839101545534237
597.0	1173.0	1.7705128520115212
743.0	1173.0	0.6691773665354774
1094.0	1171.0	2.007563810917273
301.0	1170.0	1.8927530496663656
820.0	1170.0	1.4963260805776206
836.0	1170.0	0.9463597073875839
290.0	1169.0	1.3383547330709549
929.0	1169.0	1.3383547330709549
1020.0	1169.0	2.1161547209001617
758.0	1168.0	1.639143095431311
988.0	1169.0	2.007563810917273
994.0	1169.0	1.639143095431311
1197.0	1168.0	2.007563810917273
291.0	1168.0	0.6691773665354774
827.0	1167.0	1.3383547330709549
307.0	1166.0	1.639143095431311
596.0	1165.0	2.503857862244075
855.0	1166.0	2.591737359804196
1002.0	1167.0	0.9463597073875839
932.0	1165.0	2.9168983413444924
815.0	1166.0	0.6691773665354774
985.0	1164.0	2.1161547209001617
820.0	1164.0	0.6691773665354774
209.0	1163.0	1.4963260805776206
1098.0	1163.0	1.7705128520115212
754.0	1162.0	3.2783250292046255
860.0	1163.0	1.4963260805776206
578.0	1161.0	2.9926947063768603
851.0	1162.0	2.1161547209001617
740.0	1161.0	0.6691773665354774
572.0	1160.0	1.4963260805776206
384.0	1160.0	2.1161547209001617
607.0	1160.0	1.8927530496663656
922.0	1159.0	0.9463597073875839
554.0	1157.0	2.7591120379519816
580.0	1158.0	1.4963260805776206
921.0	1156.0	2.9168983413444924
375.0	1155.0	3.9019899794716992
542.0	1154.0	1.7705128520115212
604.0	1154.0	2.1161547209001617
916.0	1154.0	0.6691773665354774
1125.0	1153.0	0.9463597073875839
818.0	1153.0	1.1590491981145883
598.0	1152.0	0.9463597073875839
615.0	1151.0	2.3181258590841773
536.0	1149.0	4.917481070784021
928.0	1151.0	2.1161547209001617
1190.0	1152.0	1.1590491981145883
591.0	1149.0	3.477184211507866
558.0	1149.0	2.676733249707221
809.0	1149.0	1.4963260805776206
953.0	1147.0	3.84418098585566
568.0	1146.0	3.2783250292046255
794.0	1147.0	1.4963260805776206
1103.0	1147.0	0.6691773665354774
1133.0	1146.0	1.7705128520115212
770.0	1146.0	0.9463597073875839
878.0	1145.0	1.4963260805776206
926.0	1145.0	2.3181258590841773
542.0	1144.0	1.1590491981145883
574.0	1144.0	0.6691773665354774
797.0	1142.0	1.1590491981145883
385.0	1141.0	2.007563810917273
829.0	1140.0	2.591737359804196
773.0	1141.0	1.639143095431311
1147.0	1141.0	1.1590491981145883
839.0	1140.0	0.9463597073875839
881.0	1138.0	3.2783250292046255
1029.0	1141.0	0.6691773665354774
1097.0	1140.0	1.639143095431311
102.0	1140.0	0.9463597073875839
570.0	1140.0	0.9463597073875839
781.0	1137.0	2.9926947063768603
886.0	1138.0	1.4963260805776206
873.0	1135.0	3.7854724645909608
1039.0	1137.0	0.9463597073875839
843.0	1136.0	1.1590491981145883
865.0	1136.0	1.3383547330709549
1041.0	1136.0	0.9463597073875839
1050.0	1136.0	1.3383547330709549
1112.0	1136.0	0.6691773665354774
776.0	1135.0	0.6691773665354774
820.0	1134.0	1.7705128520115212
899.0	1134.0	2.1161547209001617
93.0	1134.0	0.9463597073875839
1118.0	1134.0	1.3383547330709549
177.0	1132.0	2.219438926997406
468.0	1132.0	2.591737359804196
765.0	1132.0	2.007563810917273
826.0	1133.0	0.9463597073875839
1047.0	1132.0	1.8927530496663656
714.0	1132.0	1.639143095431311
947.0	1132.0	0.6691773665354774
1036.0	1131.0	2.3181258590841773
577.0	1132.0	1.1590491981145883
502.0	1129.0	3.958954931264172
834.0	1130.0	0.6691773665354774
724.0	1129.0	1.4963260805776206
740.0	1129.0	0.6691773665354774
359.0	1129.0	0.6691773665354774
925.0	1127.0	2.1161547209001617
472.0	1128.0	0.6691773665354774
797.0	1126.0	2.839101545534237
328.0	1126.0	0.9463597073875839
758.0	1125.0	1.4963260805776206
823.0	1123.0	2.9168983413444924
894.0	1124.0	1.4963260805776206
48.0	1125.0	0.6691773665354774
790.0	1125.0	1.1590491981145883
830.0	1125.0	1.1590491981145883
1146.0	1124.0	1.1590491981145883
179.0	1124.0	0.9463597073875839
348.0	1123.0	3.540989747040075
496.0	1124.0	1.4963260805776206
519.0	1124.0	1.1590491981145883
751.0	1124.0	2.3181258590841773
1058.0	1124.0	0.6691773665354774
343.0	1118.0	3.958954931264172
359.0	1121.0	6.383615035782372
462.0	1122.0	1.4963260805776206
1057.0	1122.0	0.6691773665354774
49.0	1120.0	1.7705128520115212
896.0	1121.0	1.1590491981145883
56.0	1120.0	1.639143095431311
334.0	1120.0	4.336809032337532
532.0	1120.0	2.007563810917273
72.0	1120.0	1.4963260805776206
740.0	1121.0	0.6691773665354774
803.0	1121.0	0.6691773665354774
79.0	1119.0	1.4963260805776206
350.0	1120.0	1.1590491981145883
492.0	1119.0	1.1590491981145883
526.0	1119.0	1.1590491981145883
1035.0	1118.0	2.219438926997406
1065.0	1120.0	1.639143095431311
59.0	1119.0	0.6691773665354774
801.0	1118.0	2.676733249707221
84.0	1115.0	5.2265032134934275
792.0	1119.0	0.6691773665354774
794.0	1117.0	1.639143095431311
1110.0	1118.0	0.6691773665354774
849.0	1117.0	0.9463597073875839
982.0	1116.0	1.8927530496663656
520.0	1114.0	2.9168983413444924
1070.0	1115.0	2.1161547209001617
367.0	1114.0	0.9463597073875839
536.0	1114.0	0.6691773665354774
329.0	1112.0	2.3181258590841773
468.0	1111.0	1.4963260805776206
410.0	1109.0	1.8927530496663656
737.0	1109.0	2.007563810917273
917.0	1110.0	0.9463597073875839
438.0	1109.0	2.676733249707221
523.0	1110.0	0.9463597073875839
732.0	1110.0	0.6691773665354774
896.0	1108.0	3.4121857647080445
337.0	1109.0	0.9463597073875839
702.0	1108.0	1.3383547330709549
885.0	1109.0	2.007563810917273
691.0	1107.0	3.477184211507866
1019.0	1108.0	0.9463597073875839
541.0	1108.0	0.6691773665354774
1026.0	1108.0	1.4963260805776206
1069.0	1107.0	1.639143095431311
527.0	1106.0	1.1590491981145883
541.0	1105.0	0.9463597073875839
697.0	1105.0	1.4963260805776206
515.0	1105.0	0.6691773665354774
973.0	1105.0	2.219438926997406
433.0	1103.0	2.503857862244075
739.0	1103.0	0.6691773665354774
903.0	1102.0	2.503857862244075
920.0	1102.0	2.839101545534237
410.0	1102.0	0.6691773665354774
1115.0	1100.0	2.4127796928932637
438.0	1101.0	0.6691773665354774
200.0	1100.0	2.007563810917273
551.0	1100.0	0.9463597073875839
719.0	1099.0	0.9463597073875839
698.0	1098.0	0.9463597073875839
87.0	1097.0	0.6691773665354774
406.0	1096.0	2.4127796928932637
573.0	1097.0	0.9463597073875839
974.0	1097.0	1.4963260805776206
255.0	1097.0	0.6691773665354774
249.0	1091.0	8.827149468719345
94.0	1096.0	0.6691773665354774
336.0	1092.0	2.839101545534237
1035.0	1093.0	1.8927530496663656
712.0	1092.0	3.2783250292046255
877.0	1093.0	2.839101545534237
718.0	1093.0	1.7705128520115212
257.0	1093.0	0.6691773665354774
351.0	1091.0	3.2783250292046255
740.0	1092.0	0.6691773665354774
1088.0	1090.0	2.591737359804196
1116.0	1090.0	2.591737359804196
380.0	1090.0	1.639143095431311
1019.0	1089.0	3.540989747040075
393.0	1089.0	2.9926947063768603
743.0	1089.0	0.9463597073875839
1079.0	1089.0	1.3383547330709549
241.0	1084.0	5.638645167014031
340.0	1083.0	9.320664640930298
727.0	1089.0	0.6691773665354774
353.0	1085.0	3.0665974553989703
461.0	1086.0	1.1590491981145883
1098.0	1085.0	2.7591120379519816
444.0	1083.0	1.639143095431311
866.0	1081.0	4.4388635120637705
872.0	1082.0	2.7591120379519816
948.0	1082.0	2.591737359804196
1029.0	1083.0	0.6691773665354774
383.0	1083.0	0.6691773665354774
1024.0	1083.0	0.6691773665354774
1075.0	1082.0	0.9463597073875839
141.0	1082.0	1.3383547330709549
318.0	1081.0	2.591737359804196
425.0	1079.0	3.7258560670392256
853.0	1080.0	2.591737359804196
1035.0	1081.0	0.9463597073875839
23.0	1081.0	0.9463597073875839
225.0	1080.0	0.9463597073875839
407.0	1077.0	2.9168983413444924
473.0	1079.0	4.4388635120637705
361.0	1079.0	3.0665974553989703
159.0	1079.0	1.1590491981145883
366.0	1078.0	2.1161547209001617
859.0	1078.0	0.9463597073875839
216.0	1075.0	3.9019899794716992
323.0	1076.0	1.7705128520115212
1115.0	1077.0	1.1590491981145883
370.0	1077.0	0.6691773665354774
82.0	1076.0	0.9463597073875839
374.0	1075.0	2.7591120379519816
895.0	1075.0	0.6691773665354774
876.0	1074.0	1.4963260805776206
1046.0	1073.0	3.477184211507866
43.0	1073.0	2.007563810917273
692.0	1074.0	2.503857862244075
862.0	1073.0	1.1590491981145883
82.0	1073.0	0.6691773665354774
244.0	1069.0	6.556640348874076
366.0	1068.0	8.058049454215698
347.0	1067.0	4.53863782411114
434.0	1065.0	7.207340304860014
1106.0	1069.0	2.676733249707221
222.0	1069.0	2.4127796928932637
315.0	1067.0	1.4963260805776206
226.0	1065.0	3.7854724645909608
217.0	1064.0	4.388132966404705
823.0	1065.0	2.4127796928932637
879.0	1064.0	3.665270124344132
150.0	1064.0	0.6691773665354774
192.0	1064.0	1.1590491981145883
418.0	1064.0	0.6691773665354774
321.0	1058.0	6.758435475443868
351.0	1063.0	1.4963260805776206
1082.0	1062.0	1.8927530496663656
191.0	1062.0	0.6691773665354774
195.0	1059.0	2.9168983413444924
220.0	1060.0	1.3383547330709549
151.0	1059.0	2.1161547209001617
236.0	1056.0	6.691849772669098
355.0	1059.0	0.9463597073875839
428.0	1059.0	0.6691773665354774
861.0	1059.0	0.9463597073875839
341.0	1058.0	1.4963260805776206
370.0	1057.0	2.676733249707221
548.0	1057.0	2.219438926997406
924.0	1058.0	1.8927530496663656
103.0	1057.0	0.9463597073875839
422.0	1056.0	1.3383547330709549
332.0	1054.0	4.587704398316838
1190.0	1054.0	2.4127796928932637
442.0	1054.0	0.9463597073875839
535.0	1053.0	2.839101545534237
197.0	1048.0	8.69940089912492
212.0	1053.0	2.219438926997406
